name,category,count_reviews,score,release_date,developer,popular_tags,price_without_black_friday,price_black_friday,game_area_platform
Seaside Driving,Casual Games,1,1 user reviews,"16 Mar, 2022",Frozen Lake Games,"Racing,Arcade,Runner,3D,Colorful,Minimalist,Third Person,1980s,Atmospheric,Old School,Relaxing,Retro,Controller,Linear,Procedural Generation,Casual,Singleplayer,Driving,Electronic Music,Simulation",102 pуб.,,win 
Crash Drive 2,"Racing Games,M2H Franchise",881,Very Positive,"28 May, 2015",M2H,"Racing,Multiplayer,Action,Open World,Family Friendly,Driving,Controller,Singleplayer,Offroad,Casual,Competitive,Arcade,Funny,Comedy,Exploration,Combat Racing,3D,3D Vision,Stylized,Sequel",200 pуб.,"3867,30 pуб.",mac win linux
Drive 4 Survival,Early Access Games,175,Mostly Positive,"15 Oct, 2020",M3M Games,"Early Access,Open World,Post-apocalyptic,Driving,Action,Shooter,Sandbox,Survival,Exploration,Racing,Automobile Sim,Base Building,Singleplayer,First-Person,Stylized,Zombies,Atmospheric,Building,Crafting,Survival Horror",435 pуб.,,win 
Crash Drive 3,"Racing Games,M2H Franchise",115,Very Positive,"8 Jul, 2021",M2H,"Racing,Open World,Sandbox,Multiplayer,Exploration,Action,Combat Racing,Vehicular Combat,Casual,Tanks,Colorful,Cute,Offroad,Skating,PvP,Combat,Indie,Driving,Family Friendly,Relaxing",710 pуб.,"3867,30 pуб.",mac win linux
Creaks,"Adventure Games,Amanita Design Franchise","2,361",Very Positive,"22 Jul, 2020",Amanita Design,"Puzzle,Hand-drawn,Atmospheric,Surreal,2D,Stylized,Puzzle Platformer,Relaxing,Mystery,Cartoon,Supernatural,Singleplayer,Story Rich,Adventure,Linear,Platformer,Indie,Funny,Casual,Dark",599 pуб.,"1116,80 pуб.",mac win 
VALKYRIE DRIVE -BHIKKHUNI-,Action Games,"1,037",Very Positive,"20 Jun, 2017",Meteorise,"Anime,Sexual Content,Nudity,Female Protagonist,Action,Hack and Slash,Beat 'em up,Cute,LGBTQ+,Multiplayer,Hentai,Musou,Great Soundtrack",499 pуб.,,win 
Myst,Adventure Games,886,Very Positive,"26 Aug, 2021",Cyan Worlds Inc,"Adventure,Exploration,Puzzle,VR,First-Person,Story Rich,Singleplayer,Multiple Endings,3D,Indie,Realistic,Choices Matter,Classic,Atmospheric,Mystery,Point & Click",515 pуб.,,mac win 
Eastward,Adventure Games,"11,352",Very Positive,"16 Sep, 2021",Pixpil,"Pixel Graphics,Story Rich,Action RPG,Adventure,Singleplayer,Action,Atmospheric,JRPG,RPG,Post-apocalyptic,Soundtrack,2D,Cute,Female Protagonist,Dark,Relaxing,Mature,Comedy,Casual,Indie",1725 pуб.,"3773,15 pуб.",mac win 
Super Meat Boy,Indie Games,"22,360",Very Positive,"30 Nov, 2010",Team Meat,"Precision Platformer,Platformer,Difficult,Indie,2D Platformer,Pixel Graphics,2D,Singleplayer,Great Soundtrack,Fast-Paced,Retro,Controller,Unforgiving,Gore,Action,Time Attack,Funny,Comedy,Side Scroller,Replay Value",299 pуб.,"930,75 pуб.",mac win linux
Naval Action,Free to Play Games,"10,509",Mixed,"13 Jun, 2019",Game-Labs,"Sailing,Naval Combat,Pirates,Open World,Difficult,Naval,Massively Multiplayer,PvP,MMORPG,War,Historical,Simulation,Military,Realistic,Sandbox,Action RPG,Wargame,4X,RPG,Vehicular Combat",Free To Play,,win 
A Dance of Fire and Ice - Neo Cosmos,"Indie Games,7th Beat Games Franchise,A Dance of Fire and Ice,Downloadable Content",696,Very Positive,"30 May, 2022",7th Beat Games,"Indie,Rhythm,Music",133 pуб.,"258,30 pуб.",mac win linux
The Banner Saga 2,Indie Games,"2,645",Very Positive,"19 Apr, 2016",Stoic,"RPG,Strategy,Story Rich,Turn-Based Strategy,Indie,Choices Matter,Turn-Based,Atmospheric,Fantasy,Singleplayer,Tactical,Great Soundtrack,Adventure,Hand-drawn,Vikings,Turn-Based Tactics,Medieval,Turn-Based Combat,Tactical RPG,Dark Fantasy",750 pуб.,"1884,48 pуб.",mac win 
Pathologic Classic HD,RPG Games,"2,509",Very Positive,"29 Oct, 2015",Ice-Pick Lodge,"Atmospheric,Story Rich,Survival,Psychological Horror,First-Person,Cult Classic,Horror,Dark,RPG,Singleplayer,Great Soundtrack,Adventure,Indie,Choices Matter,Difficult,Classic,Open World,Action,Mature,Walking Simulator",299 pуб.,,win 
Cyber Manhunt,Indie Games,"10,320",Very Positive,"2 Feb, 2021",Aluba Studio,"Simulation,RPG,Puzzle,Indie,Hacking,Mystery,Singleplayer,Crime,Detective,Immersive Sim,Story Rich,Cyberpunk,2D,Atmospheric,Casual,Word Game,Investigation,Psychological Horror,Early Access,Linear",298 pуб.,389 pуб.,mac win 
INMOST,Indie Games,"3,100",Very Positive,"21 Aug, 2020",Hidden Layer Games,"Indie,Pixel Graphics,Adventure,Exploration,Story Rich,Thriller,Psychological,Puzzle Platformer,Atmospheric,Psychological Horror,Dark,Singleplayer,Platformer,Mystery,Emotional,Horror,Action,Puzzle,2D Platformer,Cinematic",465 pуб.,"3773,15 pуб.",mac win 
ICEY,"Action Games,XD International Franchise","21,293",Very Positive,"17 Nov, 2016",FantaBlade Network,"Action,Female Protagonist,Hack and Slash,Anime,Side Scroller,Adventure,Indie,Singleplayer,RPG,2D,Narration,Cyberpunk,Great Soundtrack,Character Action Game,Spectacle fighter,Sci-fi,Platformer,Metroidvania,Funny,Lovecraftian",449 pуб.,,mac win 
Serious Sam 3: BFE,"Action Games,Serious Sam Franchise Franchise","19,026",Very Positive,"22 Nov, 2011",Croteam,"FPS,Action,Co-op,Gore,Comedy,Online Co-Op,First-Person,Aliens,Shooter,Multiplayer,Old School,Local Co-Op,Indie,Split Screen,Funny,Difficult,Singleplayer,Adventure,Sci-fi,Local Multiplayer",1100 pуб.,1496 pуб.,mac win linux
SUNLESS SEA,"RPG Games,Failbetter Games Franchise","6,749",Very Positive,"6 Feb, 2015",Failbetter Games,"Exploration,Lovecraftian,Survival,Story Rich,Dark,Adventure,Atmospheric,Singleplayer,RPG,Indie,Roguelike,Steampunk,Horror,Great Soundtrack,Open World,Roguelite,2D,Top-Down,Kickstarter,Gothic",399 pуб.,848 pуб.,mac win linux
Salt and Sanctuary,Action Games,"15,722",Very Positive,"17 May, 2016",Ska Studios,"Souls-like,Metroidvania,Dark Fantasy,Difficult,2D,RPG,Action,Platformer,Indie,Local Co-Op,Atmospheric,Dark,Action RPG,Co-op,Side Scroller,Gore,Singleplayer,Adventure,Horror,Story Rich",389 pуб.,"753,95 pуб.",mac win linux
UnderRail,RPG Games,"4,299",Very Positive,"18 Dec, 2015",Stygian Software,"RPG,Post-apocalyptic,Isometric,Turn-Based,Turn-Based Combat,Indie,CRPG,Singleplayer,Sci-fi,Crafting,Open World,Atmospheric,Cyberpunk,Old School,Pixel Graphics,Difficult,Adventure,Exploration,2D,Sandbox",349 pуб.,"518,40 pуб.",win 
Rivals of Aether,Indie Games,"22,896",Overwhelmingly Positive,"28 Mar, 2017",Dan Fornace,"Fighting,2D Fighter,Pixel Graphics,Multiplayer,Indie,Local Multiplayer,Competitive,2D,Great Soundtrack,Platformer,4 Player Local,Action,Games Workshop,Controller,Arcade,Moddable,Beat 'em up,Singleplayer,Retro,GameMaker",515 pуб.,"822,60 pуб.",win 
Black Geyser: Couriers of Darkness,RPG Games,548,Mostly Positive,"17 Mar, 2022",GrapeOcean Technologies,"RPG,CRPG,Real-Time with Pause,Party-Based RPG,Isometric,Tactical RPG,Character Customization,Indie,Choices Matter,Open World,Multiple Endings,Crowdfunded,Story Rich,Exploration,Fantasy,Choose Your Own Adventure,Medieval,Old School,Singleplayer,Tabletop",515 pуб.,,mac win linux
KARDS - The WWII Card Game,Strategy Games,"24,845",Very Positive,"15 Apr, 2020",1939 Games,"Free to Play,Card Game,World War II,Trading Card Game,Wargame,Board Game,PvP,Turn-Based Strategy,Strategy,Top-Down,Turn-Based Combat,Tanks,Deckbuilding,Historical,Casual,Realistic,Military,War,Multiplayer,Singleplayer",Free To Play,,win 
Necromunda: Hired Gun,"Action Games,Warhammer Franchise","4,155",Mostly Positive,"31 May, 2021",Streum On Studio,"Action,Adventure,Warhammer 40K,Shooter,FPS,Gore,Singleplayer,First-Person,Violent,Action-Adventure,Games Workshop,Combat,Dog,Character Customization,Female Protagonist,Looter Shooter,Nudity,Open World,Cyberpunk,Multiplayer",813 pуб.,799 pуб.,win 
Noita,Action Games,"44,847",Overwhelmingly Positive,"15 Oct, 2020",Nolla Games,"Physics,Difficult,Roguelike,Pixel Graphics,Dungeon Crawler,Indie,Open World,Perma Death,2D,Sandbox,Action,Action Roguelike,RPG,Roguelite,2D Platformer,Gun Customization,Action-Adventure,Mythology,Dark Humor,Crafting",435 pуб.,"624,60 pуб.",win 
Grim Dawn,RPG Games,"66,427",Very Positive,"25 Feb, 2016",Crate Entertainment,"Action RPG,Hack and Slash,Dark Fantasy,RPG,Loot,Dungeon Crawler,Co-op,Dark,Multiplayer,Singleplayer,Fantasy,Action,Adventure,Isometric,Atmospheric,Post-apocalyptic,Indie,Zombies,Kickstarter,Crowdfunded",500 pуб.,"1365,95 pуб.",win 
Insurgency: Sandstorm,Action Games,"79,393",Very Positive,"12 Dec, 2018",New World Interactive,"FPS,Realistic,Shooter,Military,Multiplayer,Tactical,Action,First-Person,Online Co-Op,War,Co-op,Violent,Gore,Atmospheric,Difficult,Simulation,Open World,Massively Multiplayer,Indie,Choices Matter",1099 pуб.,"2179,98 pуб.",win 
Vampire Survivors,Action Games,"158,345",Overwhelmingly Positive,"20 Oct, 2022",poncle,"Action Roguelike,Bullet Hell,Pixel Graphics,Roguelite,2D,Indie,Vampire,Singleplayer,Casual,Action,RPG,Arcade,Controller,Action RPG,Retro,Score Attack,Dark Fantasy,Roguelike,Early Access,1980s",99 pуб.,160 pуб.,mac win 
ATOM RPG: Post-apocalyptic indie game,RPG Games,"7,592",Very Positive,"19 Dec, 2018",AtomTeam,"CRPG,Exploration,Puzzle,Survival,Sandbox,Turn-Based,RPG,Post-apocalyptic,Strategy,Isometric,Alternate History,Open World,Story Rich,Turn-Based Combat,Simulation,Tactical,Atmospheric,Mystery,Singleplayer,Indie",50 pуб.,249 pуб.,mac win linux
